0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,4,34,8,23,25,25,24,27,24,25,26,26,26,27,28,30,31,31,35,35,30,34,32,39
4,0,4,4,31,30,27,26,28,26,26,26,26,27,21,22,23,28,28,30,27,31,32,31,36
12,4,0,1,4,7,28,27,30,27,23,23,24,24,17,23,24,28,28,37,28,34,36,35,32
12,4,1,0,4,6,28,27,29,27,22,22,24,24,22,23,24,28,28,36,27,34,36,35,31
14,13,10,10,0,2,4,5,6,5,22,23,24,23,21,23,24,28,28,31,27,22,25,23,30
16,15,13,12,2,0,5,4,4,4,6,6,6,7,23,25,9,11,11,35,27,20,22,20,32
19,18,18,18,4,5,0,1,1,1,4,4,4,4,6,6,6,10,10,25,21,17,19,17,28
18,16,17,17,5,4,1,0,2,1,4,4,5,5,6,7,7,11,11,26,20,18,20,19,28
18,19,20,19,6,4,1,2,0,2,3,4,4,5,6,6,6,10,10,13,23,18,19,18,31
18,16,17,17,5,4,1,1,2,0,4,4,5,5,6,7,7,11,11,26,21,18,20,19,29
19,21,21,20,25,6,4,4,3,4,0,1,1,1,3,3,3,7,7,10,11,15,17,16,28
19,21,20,20,24,6,4,4,4,4,1,0,1,1,3,3,3,7,7,10,11,16,16,18,27
19,20,19,19,18,6,5,5,5,5,1,1,0,2,3,3,3,6,6,9,10,14,17,15,27
21,22,22,21,21,8,6,6,6,6,2,2,2,0,2,2,2,6,6,9,10,15,18,16,27
21,20,18,18,18,21,7,7,7,7,3,3,3,2,0,1,2,6,6,9,8,16,18,17,25
22,22,21,21,20,10,7,7,7,8,3,3,3,2,1,0,1,5,5,8,8,15,17,16,27
23,23,23,21,21,10,7,8,7,8,4,4,3,2,3,1,0,5,5,7,7,15,18,16,28
22,23,23,24,20,12,11,11,11,11,7,7,6,6,6,5,4,0,1,2,10,3,6,5,32
22,23,23,23,20,11,11,11,10,11,7,7,6,5,6,4,4,1,0,1,10,3,6,5,32
25,26,26,26,23,14,14,14,13,14,10,10,9,8,9,7,7,2,1,0,10,6,9,8,38
26,25,23,23,23,26,13,13,13,23,9,9,8,8,6,6,5,9,9,9,0,20,22,20,29
21,22,22,21,18,17,16,16,16,17,12,12,8,9,9,8,7,4,4,7,13,0,2,1,31
25,24,24,23,21,21,20,20,19,21,18,17,16,19,22,10,9,6,6,9,14,2,0,1,32
24,23,23,22,19,19,19,18,18,19,15,15,9,10,11,9,8,5,5,8,13,1,1,0,30
32,31,31,31,29,30,29,29,29,30,26,25,25,26,25,25,25,29,29,18,26,26,27,26,0
