0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,7,6,6,7,6,8,9,8,9,8,8,8,8,8,10,10,13,13,13,14,11,15,12,11
4,0,7,7,6,7,9,9,8,9,9,9,10,10,9,11,12,14,14,14,14,11,15,12,11
4,2,0,1,4,4,6,6,6,5,5,5,6,6,5,6,6,9,9,9,10,8,11,8,9
5,1,1,0,9,9,10,11,10,10,9,9,10,9,9,11,11,14,14,14,14,12,17,13,11
5,3,2,1,0,1,3,4,3,4,4,4,5,5,4,6,6,9,9,9,9,6,9,7,7
9,6,5,5,4,0,2,2,2,2,5,5,5,5,5,7,7,9,9,9,10,6,9,6,8
7,4,3,3,2,1,0,1,3,1,3,3,5,4,3,5,5,8,8,8,8,6,9,7,7
6,4,3,3,2,1,3,0,3,1,3,3,5,4,4,5,5,8,8,8,9,6,9,7,7
7,5,4,4,2,2,1,1,0,1,4,4,5,4,4,6,6,10,11,11,12,6,8,7,8
6,4,3,3,2,1,3,4,3,0,3,3,5,4,3,5,5,8,8,8,8,6,9,7,6
9,8,7,8,7,7,5,5,5,5,0,1,1,3,2,5,5,9,9,9,9,4,8,4,5
9,8,7,7,7,7,6,6,6,6,1,0,2,3,2,5,5,7,7,7,7,4,7,5,6
11,10,9,9,7,8,6,7,6,6,4,4,0,8,7,10,10,9,9,9,10,3,7,4,11
16,15,14,14,13,13,14,14,14,14,12,12,14,0,1,4,4,9,9,9,9,12,13,12,7
16,15,13,13,13,12,14,14,14,14,11,11,12,1,0,3,3,8,7,7,8,11,11,11,6
16,14,13,13,12,12,13,13,13,13,11,11,12,11,10,0,1,8,8,8,8,11,12,11,7
16,14,13,13,12,12,13,14,13,13,10,10,12,11,11,1,0,8,8,8,9,11,13,12,7
20,19,18,18,16,16,15,15,15,15,15,15,15,16,15,11,11,0,1,1,10,4,11,4,12
19,18,18,17,16,16,15,15,15,15,15,15,15,15,15,11,11,1,0,1,9,4,10,4,12
23,21,20,20,18,16,16,17,16,16,15,15,16,15,15,11,11,1,1,0,9,4,10,5,12
14,12,12,11,10,10,11,12,11,12,9,9,10,9,9,2,2,7,7,7,0,10,11,10,5
18,16,16,15,14,14,13,13,13,13,13,13,13,12,11,8,8,6,6,6,6,0,7,1,8
18,16,15,15,13,13,11,12,11,11,11,11,11,13,13,8,8,6,6,6,6,9,0,10,9
19,18,17,17,15,15,17,17,16,15,13,13,15,13,13,9,9,6,6,6,6,9,8,0,9
12,11,10,9,9,9,11,11,10,11,8,8,9,8,7,9,9,7,7,7,7,10,12,11,0
