sitesId,Name
17,Ru?nas de S?o Paulo
19,Old Macau City Walls Sections
21,Igreja de Santo Ant?nio de Lisboa
23,Cemit?rio Protestante
22,Funda??o Oriente
20,Monte do Forte
24,Farol e Fortaleza da Guia
11,Largo do Senado
10,Instituto para os Assuntos Municipais
12,Templo de Sam Kai Vui Kun
8,Biblioteca Sir Robert Ho Tung
7,Teatro Dom Pedro V
9,Igreja de Santo Agostinho
5,Igreja do Semin?rio de S?o Jos?
6,Largo de Santo Agostinho
4,Igreja de S?o Louren?o
2,Largo do Lilau
3,Casa do Mandarim
1,Quartel dos Mouros
0,Templo de A-Ma
13,Santa Casa da Miseric?rdia de Macau
14,Igreja da S? Catedral
16,Igreja de S?o Domingos
15,Casa de Lou Kau
18,Templo de Na Tcha
17,Ru?nas de S?o Paulo
