sitesId,Name
18,Templo de Na Tcha
19,Old Macau City Walls Sections
21,Igreja de Santo Ant?nio de Lisboa
23,Cemit?rio Protestante
22,Funda??o Oriente
24,Farol e Fortaleza da Guia
20,Monte do Forte
15,Casa de Lou Kau
14,Igreja da S? Catedral
13,Santa Casa da Miseric?rdia de Macau
10,Instituto para os Assuntos Municipais
8,Biblioteca Sir Robert Ho Tung
5,Igreja do Semin?rio de S?o Jos?
4,Igreja de S?o Louren?o
3,Casa do Mandarim
2,Largo do Lilau
1,Quartel dos Mouros
0,Templo de A-Ma
9,Igreja de Santo Agostinho
6,Largo de Santo Agostinho
7,Teatro Dom Pedro V
11,Largo do Senado
12,Templo de Sam Kai Vui Kun
16,Igreja de S?o Domingos
17,Ru?nas de S?o Paulo
18,Templo de Na Tcha
